"","study_order","ManiCheck","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"463","Exp1First",2.33333333333333,3,7,9,8,9,5,6,3,8,NA,NA,NA,4.125,3.33333333333333,2.5,4,9,41,3,"Suspendisse neque sit nec justo ante laoreet augue urna nunc. Eu dui laoreet.","Quis venenatis placerat scelerisque. Eleifend. Pharetra urna? Urna neque. In.",6,3,4,"","","","","Worthy",6,3,8
"464","Exp2First",2.33333333333333,8,5,1,1,4,9,1,3,8,NA,NA,NA,3.6875,3.33333333333333,4.5,5,6,87,4,"Montes suscipit, ligula dolor culpa, est molestie dolor posuere vehicula nonummy diam! Suspendisse.","Felis lorem et platea? Dolorem porta? Suscipit dapibus, nibh. Culpa.",3,2,7,"","","","","Worthy",1,3,8
"465","Exp2First",4,5,3,3,4,7,8,NA,NA,NA,2,3,3,4.5,3.66666666666667,3,5,4,31,3,"Orci nec! Neque massa commodo non. Ac ultricies tortor consectetuer dictumst sem. Primis! Nibh. Sollicitudin.","Nullam, a neque malesuada ac augue leo! Turpis euismod sollicitudin! Venenatis sapien? Rutrum massa.",1,3,1,"","","","","Worthy",2,3,3
"466","Exp1First",3.33333333333333,2,7,2,6,4,8,NA,NA,NA,7,4,7,4.3125,3.5,2,4,6,63,3,"Elit mauris? Neque morbi orci amet odio odio risus ante. Laoreet suscipit purus sem. Turpis.","Luctus montes non aliquet vehicula tempora placerat culpa vulputate nullam proin pede sed commodo.",5,6,6,"","","","","Worthy",7,4,7
"467","Exp2First",3.5,4,1,7,7,6,7,8,5,6,NA,NA,NA,4.5,4.58333333333333,4,3,8,89,2,"Velit pede? Tempor mi wisi tellus interdum odio. Curabitur sodales orci vivamus consequat turpis. Erat.","Accumsan lorem, nulla, suscipit erat nibh per aenean? Ut orci eu pretium.",1,7,4,"","","","","Worthy",8,5,6
"468","Exp2First",2.16666666666667,7,6,7,1,2,3,4,9,4,NA,NA,NA,4.8125,3.91666666666667,3.5,3,7,65,4,"Id id et? Leo convallis, morbi pellentesque massa. Platea ligula? Dapibus.","Vestibulum natoque donec ultricies vestibulum venenatis. Consequat sapien dolor tempora cras, natoque pretium? In.",3,5,7,"","","","","Worthy",4,9,4
"469","Exp2First",3,6,7,3,8,8,4,1,9,8,NA,NA,NA,4.1875,3.08333333333333,2.5,7,7,10,2,"Accusamus mi pellentesque per neque est maecenas rutrum, mattis odio, placerat morbi! Tellus ultricies.","Aliquet lacus nullam amet sed, donec platea. Porttitor, mattis nec. Pellentesque. Placerat eros vestibulum vestibulum.",1,1,2,"","","","","Worthy",1,9,8
"470","Exp1First",3.33333333333333,8,7,3,9,6,3,NA,NA,NA,3,7,1,4.125,3.91666666666667,4,4,5,31,3,"Ab per sapien curabitur aliquam dictumst facilisi, lorem est rhoncus quis.","Sodales id morbi! Atque! Placerat mi? Sapien quam ridiculus eget. Orci. Vitae sagittis.",1,1,2,"","","","","Worthy",3,7,1
"471","Exp1First",3,6,2,5,5,4,3,4,4,8,NA,NA,NA,4.125,3.58333333333333,4.5,6,8,72,3,"Interdum accusamus imperdiet dictumst lectus sagittis tincidunt commodo at vivamus suscipit! Facilisis posuere, donec. Cursus.","Eros justo tempor, mauris risus cursus, vivamus vitae eget duis? Phasellus, rhoncus commodo, urna faucibus.",3,5,7,"","","","","Worthy",4,4,8
"472","Exp1First",3,9,3,6,2,3,1,5,7,2,NA,NA,NA,4.0625,3.91666666666667,5,7,6,1,1,"Pharetra metus! Magna ab dolorem ligula in quam luctus! Egestas quam fusce nonummy luctus.","Ante. Luctus accumsan. Scelerisque wisi fusce commodo sodales. Velit maecenas. Etiam per? Nec nullam wisi.",6,3,5,"","","","","Worthy",5,7,2
"473","Exp1First",3.5,9,3,2,5,7,1,4,2,3,NA,NA,NA,4.5,3.58333333333333,4.5,4,6,18,3,"Fermentum ullamcorper mauris? Interdum. Consequat? Eleifend porttitor temporibus! Pellentesque ullamcorper sagittis ipsum! Nec aliquet curabitur.","Mattis faucibus, morbi placerat wisi scelerisque pretium ultrices vel. Natoque, sapien.",2,2,2,"","","","","Worthy",4,2,3
"474","Exp2First",2.83333333333333,2,2,8,8,3,3,9,9,3,NA,NA,NA,4.5,4,5,6,5,25,1,"Cursus pede. Pellentesque. Magnis potenti per felis? Euismod nonummy dolor orci.","Egestas eget elementum dolorem lorem? Urna porta, augue natoque sit ullamcorper. Metus, malesuada commodo.",6,4,2,"","","","","Worthy",9,9,3
"475","Exp1First",3,4,2,2,7,5,3,NA,NA,NA,3,6,9,4.5625,4,2.5,4,4,27,4,"Urna laoreet quis sodales enim! Scelerisque nunc est montes neque vivamus? Vivamus vitae, tortor.","Turpis! Nibh. Eu eget duis purus convallis leo dui tortor praesent sit leo bibendum.",6,2,7,"","","","","Worthy",3,6,9
"476","Exp2First",3.33333333333333,5,7,7,9,6,1,4,3,8,NA,NA,NA,4.3125,4.25,3.5,8,8,80,4,"Aenean? Fringilla fusce non? Lacus atque eget ultrices phasellus mi blandit lorem. Interdum ridiculus.","Sodales enim bibendum sed wisi ridiculus integer arcu? Ridiculus eleifend.",2,2,2,"","","","","Worthy",4,3,8
"477","Exp1First",2.33333333333333,2,6,4,8,2,6,5,5,7,NA,NA,NA,4.1875,3.41666666666667,3,5,5,47,3,"Viverra in convallis ante! Porta! Phasellus! Potenti proin viverra porta mi! Nulla neque ut bibendum.","Purus fermentum tellus venenatis potenti est vel purus. Nonummy wisi laoreet rutrum commodo. Ultricies, pretium.",3,5,2,"","","","","Worthy",5,5,7
"478","Exp2First",2.66666666666667,3,7,9,2,6,7,4,4,5,NA,NA,NA,4.8125,3.91666666666667,1.5,5,4,85,1,"Tempor lacus turpis sem culpa urna sem velit quis massa luctus fusce metus.","Wisi ligula aenean nec dignissim ante, suscipit? Vel fermentum sed. Dictumst, nonummy.",3,7,5,"","","","","Worthy",4,4,5
"479","Exp1First",3.66666666666667,6,8,9,1,6,2,NA,NA,NA,2,1,9,4.0625,3.58333333333333,3.5,5,4,52,2,"Cursus dictumst ac justo eget dui odio etiam praesent vulputate curabitur.","Magnis? Eleifend lorem ullamcorper odio augue, urna vel dui mauris, ipsum morbi consectetuer volutpat.",3,1,5,"","","","","Worthy",2,1,9
"480","Exp1First",3.16666666666667,6,1,8,9,7,7,NA,NA,NA,1,4,4,4.4375,3.58333333333333,6.5,6,7,0,4,"Natoque sollicitudin consequat, sit eget, rhoncus proin nec. Morbi purus ipsum morbi nulla ligula massa.","Erat dictumst auctor. Dignissim, vehicula viverra augue egestas porta neque? Nullam velit tempora.",1,5,2,"","","","","Worthy",1,4,4
"481","Exp2First",3.16666666666667,1,7,5,8,5,7,3,7,4,NA,NA,NA,4.0625,4.16666666666667,3,12,9,42,3,"Lectus lectus. Vulputate sagittis! Aenean vel! Convallis mi pretium molestie.","Vehicula dignissim ultricies accumsan velit, nibh diam risus diam velit.",1,3,2,"","","","","Worthy",3,7,4
"482","Exp1First",2.83333333333333,3,4,4,8,3,8,2,2,8,NA,NA,NA,3.4375,3.66666666666667,5.5,5,4,34,4,"Ab commodo ridiculus, tincidunt, lacus ullamcorper vehicula etiam fusce? Etiam.","Urna magnis dapibus primis eu lorem. Elementum per. Ac non scelerisque dolor? Fermentum.",1,2,3,"","","","","Worthy",2,2,8
"483","Exp2First",3.66666666666667,3,6,6,9,9,5,3,4,9,NA,NA,NA,3.75,4.33333333333333,6.5,7,5,8,4,"Porttitor scelerisque accusamus quam malesuada vel, viverra nec turpis, dictumst? Cras tellus. Duis et elementum.","Eget id platea donec. Massa posuere per? Gravida phasellus dignissim commodo. Urna.",1,4,1,"","","","","Worthy",3,4,9
"484","Exp2First",3.33333333333333,4,4,5,8,4,7,8,3,9,NA,NA,NA,4.1875,4.25,4,4,7,42,2,"Malesuada placerat. Vestibulum nibh atque? Porttitor tortor egestas cursus maecenas! In mi. Risus! Justo. Culpa.","Sapien! Porttitor eget iaculis euismod! Morbi aliquam proin molestie aenean metus mattis.",1,2,4,"","","","","Worthy",8,3,9
"485","Exp2First",2,7,4,7,6,2,9,NA,NA,NA,7,5,2,4.6875,3.41666666666667,3.5,7,5,3,3,"Orci venenatis convallis integer urna aliquam aenean rhoncus odio venenatis quis convallis egestas. Atque justo.","Proin atque non euismod enim risus auctor. Curabitur in mattis metus ridiculus.",5,5,3,"","","","","Worthy",7,5,2
"486","Exp2First",1.5,4,2,5,4,2,7,NA,NA,NA,3,7,9,4.3125,4.25,2.5,11,6,92,4,"Wisi felis. Nullam ullamcorper ac eros praesent magnis a auctor.","Leo porttitor? Justo elementum aenean sapien malesuada magnis aliquam ut, aliquet.",2,2,1,"","","","","Worthy",3,7,9
"487","Exp1First",3.16666666666667,9,2,2,8,2,7,8,7,4,NA,NA,NA,3.75,2.66666666666667,6,12,5,51,4,"Ab wisi mi laoreet nec laoreet? Elementum accumsan, nec fusce ipsum. Sem placerat est.","Tempus, luctus ab nec! Tempora ultrices ligula bibendum elit in morbi.",6,7,2,"","","","","Worthy",8,7,4
"488","Exp1First",3.5,6,8,8,1,7,2,4,1,1,NA,NA,NA,3.6875,3.83333333333333,7,6,10,75,4,"Ultrices dui tellus ligula laoreet! Justo culpa nibh mattis eleifend. Elit. Aliquam nulla? Luctus.","Purus augue ab fringilla, amet! Ultricies tempor commodo nulla eleifend culpa.",4,4,1,"","","","","Worthy",4,1,1
"489","Exp1First",2.66666666666667,6,5,7,7,9,4,9,8,3,NA,NA,NA,4.125,4.41666666666667,5.5,3,5,40,3,"Nunc. Tortor consequat turpis. A fusce ultrices tempor temporibus est lorem pede facilisis elit tincidunt.","Id velit, quam augue. Etiam massa velit vitae eleifend! Sollicitudin convallis.",3,2,6,"","","","","Worthy",9,8,3
"490","Exp1First",2.66666666666667,9,9,5,1,4,4,3,4,6,NA,NA,NA,4.3125,3.41666666666667,6,2,6,25,2,"Fusce fermentum dolorem accumsan montes risus. Eget dui donec lectus tempora? Diam ante.","Vestibulum vestibulum, iaculis. Dictumst enim bibendum maecenas odio. Porta ipsum, vestibulum euismod.",4,4,3,"","","","","Worthy",3,4,6
"491","Exp2First",3,8,5,5,9,1,2,NA,NA,NA,2,8,2,4.1875,3.58333333333333,5.5,6,6,84,4,"Vestibulum auctor venenatis? Vitae cursus leo iaculis eleifend. Rutrum dictumst molestie, montes nonummy suspendisse eget.","Vivamus suscipit integer viverra? Tellus luctus. Potenti etiam maecenas vivamus ligula! Erat aliquam suscipit accusamus.",6,5,4,"","","","","Worthy",2,8,2
"492","Exp1First",2.83333333333333,1,6,5,9,3,2,2,8,7,NA,NA,NA,4.8125,3.66666666666667,2,3,6,4,1,"Accusamus. Scelerisque? Non vitae nulla atque rutrum. Aliquam rhoncus elit ac placerat duis nunc.","Eros tellus dolorem scelerisque et est proin dui turpis per? Elit culpa.",2,2,7,"","","","","Worthy",2,8,7
"493","Exp1First",2.16666666666667,2,3,4,9,9,6,NA,NA,NA,7,9,2,4.3125,4.58333333333333,4.5,6,4,12,2,"Eu vehicula curabitur. Egestas sem fringilla proin accumsan quis, praesent.","Praesent ultricies facilisi ab fringilla per, egestas non! Convallis? Vehicula dolorem auctor ac orci.",1,4,4,"","","","","Worthy",7,9,2
"494","Exp1First",2.66666666666667,7,3,8,9,4,9,5,2,1,NA,NA,NA,5.0625,4.33333333333333,4.5,7,4,56,4,"Pellentesque ullamcorper interdum facilisis gravida facilisis est. Eget elit felis nibh.","Vestibulum morbi amet felis sollicitudin luctus! Dapibus auctor! Urna mattis sollicitudin vitae.",5,5,1,"","","","","Worthy",5,2,1
"495","Exp1First",3.33333333333333,3,5,4,5,4,3,NA,NA,NA,2,7,1,4.0625,3.41666666666667,3.5,5,5,53,3,"Dolor magnis. Cursus accumsan suspendisse turpis wisi vestibulum ante diam ante.","Lectus ipsum vestibulum malesuada nunc ipsum! Aliquet purus magnis aliquet.",5,1,3,"","","","","Worthy",2,7,1
"496","Exp2First",3.16666666666667,1,4,1,4,5,4,5,2,6,NA,NA,NA,3.75,3.25,4,8,6,2,2,"Dictumst. Eget mauris dignissim morbi cursus. Augue erat. Amet porttitor.","Etiam ultricies montes accusamus nonummy morbi enim platea morbi vitae molestie tincidunt, pede atque laoreet.",1,1,5,"","","","","Worthy",5,2,6
"497","Exp2First",3,6,9,3,3,1,2,NA,NA,NA,6,3,3,3.5625,3.66666666666667,4.5,3,7,20,2,"Quam tortor consequat. Eu massa accusamus. Integer fusce mattis culpa, nullam lorem.","Phasellus faucibus diam velit turpis dolorem tincidunt turpis porttitor porta nulla porta sodales.",5,7,5,"","","","","Worthy",6,3,3
"498","Exp2First",3,5,8,8,5,8,3,NA,NA,NA,6,4,8,4.3125,3.25,4,7,4,62,3,"Proin est porttitor pellentesque ut natoque dignissim accusamus a mattis. Dictumst.","Fusce vehicula id faucibus tortor placerat at! Wisi iaculis ridiculus molestie? Pharetra.",6,7,6,"","","","","Worthy",6,4,8
"499","Exp1First",2.66666666666667,9,1,9,6,1,7,8,6,4,NA,NA,NA,4.5,4.58333333333333,6,5,4,43,4,"Ac a pretium id, turpis potenti ridiculus? Lectus nulla eu sapien molestie montes.","Ab? Accumsan bibendum convallis consectetuer porttitor non scelerisque rutrum eget a pretium, vel imperdiet justo.",5,3,7,"","","","","Worthy",8,6,4
"500","Exp1First",3.16666666666667,3,7,1,3,1,9,NA,NA,NA,3,3,3,4,3.91666666666667,3.5,6,5,12,1,"Orci aenean nec ab justo praesent venenatis vulputate. Nonummy cursus.","Proin. Rhoncus consectetuer mauris felis? Metus! Lectus orci posuere nunc nonummy aliquam? Tortor.",6,1,2,"","","","","Worthy",3,3,3
"501","Exp1First",3.5,4,3,5,4,9,1,NA,NA,NA,7,2,2,4.3125,3.66666666666667,4,8,7,61,3,"Sem! Eu! Viverra nunc? Praesent accusamus odio nonummy auctor quis. Platea suscipit. Consequat tincidunt.","Imperdiet dui atque montes molestie id! Venenatis proin ultricies lorem elit? Magnis integer nec id.",2,5,3,"","","","","Worthy",7,2,2
"502","Exp2First",2.5,1,8,6,1,3,5,7,9,8,NA,NA,NA,4.375,4.25,4.5,4,7,92,3,"Magnis a neque placerat arcu. Convallis turpis tortor eros dapibus. Laoreet turpis.","Enim a. Donec atque suspendisse lorem curabitur proin et sodales sollicitudin scelerisque nunc.",4,2,5,"","","","","Worthy",7,9,8
"503","Exp2First",2.5,6,7,1,5,9,8,NA,NA,NA,4,8,4,4.1875,3.5,2.5,3,4,71,3,"Turpis tempus. Porttitor. Tempor turpis orci ipsum. Eu. Nunc convallis vestibulum.","Quis phasellus? Facilisi iaculis wisi ligula sapien vestibulum venenatis vestibulum suspendisse.",4,6,3,"","","","","Worthy",4,8,4
"504","Exp1First",3.66666666666667,3,7,6,9,1,4,NA,NA,NA,6,4,4,4,4.33333333333333,5.5,7,9,41,4,"Pede vestibulum, a porttitor sem bibendum pretium, lorem. Imperdiet etiam.","Pharetra quis tincidunt dignissim ipsum magnis blandit consectetuer sem etiam erat pede fringilla elit? Fermentum.",3,7,2,"","","","","Worthy",6,4,4
"505","Exp1First",2.83333333333333,3,7,2,2,2,6,6,9,5,NA,NA,NA,4.625,3.91666666666667,5.5,6,5,59,2,"Ante dolorem eros volutpat ante eu phasellus. Accusamus potenti augue aliquet amet, felis ipsum venenatis.","Orci dapibus consectetuer fringilla ridiculus. Purus vestibulum tempor. Sollicitudin purus aliquam.",5,1,1,"","","","","Worthy",6,9,5
"506","Exp1First",2.83333333333333,5,5,5,7,1,1,7,3,4,NA,NA,NA,4.8125,3.41666666666667,3.5,7,7,57,4,"Dictumst. Urna venenatis natoque lectus magna nulla suspendisse praesent malesuada. Vitae ut, wisi euismod pede.","Ullamcorper, metus nulla convallis platea et porta erat. Risus blandit imperdiet justo.",2,3,7,"","","","","Worthy",7,3,4
"507","Exp1First",2.5,6,1,4,4,4,4,NA,NA,NA,7,3,1,4.3125,3,3,5,6,66,4,"Tortor. Etiam justo? Suscipit viverra, at metus mi pharetra euismod imperdiet curabitur. Venenatis.","Turpis ridiculus consequat nunc gravida convallis. Eu laoreet maecenas tempora at accusamus sodales faucibus platea.",5,4,7,"","","","","Worthy",7,3,1
"508","Exp2First",3.33333333333333,8,1,7,2,7,4,7,7,8,NA,NA,NA,4.125,3.16666666666667,1.5,6,4,95,3,"Dolor augue commodo. Vestibulum phasellus tortor blandit magna! Primis interdum ante imperdiet per in.","Sed nec? Proin tortor pellentesque sed facilisis. Malesuada urna sollicitudin vehicula morbi sagittis justo.",3,2,4,"","","","","Worthy",7,7,8
"509","Exp1First",3,4,1,3,9,9,5,NA,NA,NA,5,8,3,3.9375,4,2.5,4,6,22,2,"Tortor! Nunc integer. Nullam posuere tincidunt sodales aliquet accumsan laoreet, sed auctor tempora laoreet ante.","Cursus scelerisque mauris sem posuere faucibus tempor? Cras et consequat.",4,6,4,"","","","","Worthy",5,8,3
"510","Exp1First",2.66666666666667,9,2,5,7,6,1,NA,NA,NA,5,4,8,3.8125,4,4,8,8,97,1,"Tempus tincidunt ligula suspendisse eros amet accusamus, id commodo! Turpis metus.","Turpis leo! Luctus accumsan pharetra tincidunt tempus pharetra. Dignissim. Praesent sodales.",5,5,2,"","","","","Worthy",5,4,8
"511","Exp2First",3.66666666666667,6,1,7,9,5,2,NA,NA,NA,3,1,7,4.125,3.83333333333333,6,4,4,22,3,"Tortor mauris quis mattis facilisi accusamus dolorem! Facilisis lorem arcu eu. Natoque.","Arcu. Per ultrices ac. Accumsan. Ipsum culpa justo lorem suspendisse duis purus vehicula est imperdiet.",3,3,5,"","","","","Worthy",3,1,7
"512","Exp1First",2.5,8,6,3,1,2,3,NA,NA,NA,1,3,4,3.6875,4.25,5.5,5,7,40,2,"Lacus quis dolor iaculis, sit ultrices? Quis sapien aenean, pharetra sit nullam cras nunc nibh.","Ante. Ridiculus, integer magna curabitur duis porta interdum velit sapien rutrum magna cursus.",5,6,3,"","","","","Worthy",1,3,4
"513","Exp2First",3.33333333333333,1,1,2,2,3,9,6,6,9,NA,NA,NA,4.5625,3.25,5,6,8,84,1,"Ridiculus vel ullamcorper maecenas id lectus scelerisque, faucibus? Sodales turpis, porttitor.","Enim orci nec nullam risus praesent, eu! Pellentesque lacus nibh porttitor consectetuer rhoncus tellus magnis.",1,7,5,"","","","","Worthy",6,6,9
"514","Exp1First",3.16666666666667,3,3,5,4,3,7,NA,NA,NA,5,8,2,4,3.58333333333333,6,5,6,67,1,"Diam primis ultrices? Aliquet luctus potenti temporibus suspendisse pellentesque vel? A.","Elit porta sodales nonummy facilisis dui faucibus eros pharetra facilisi tempus. Montes.",2,2,1,"","","","","Worthy",5,8,2
"515","Exp2First",3,9,3,3,9,6,4,6,9,6,NA,NA,NA,4.0625,3.41666666666667,3,6,7,84,2,"Tellus, sed, ligula quis! Sem arcu rhoncus. Donec, faucibus, erat! Convallis vehicula vehicula porta.","Scelerisque blandit praesent proin molestie. Proin, ut metus! Dapibus? Scelerisque venenatis. Porttitor.",1,7,5,"","","","","Worthy",6,9,6
"516","Exp2First",3,8,8,3,7,4,8,NA,NA,NA,7,4,1,4,3.33333333333333,3,7,5,2,2,"Accumsan venenatis per auctor, lectus platea odio maecenas ipsum wisi! Atque sapien sed.","Venenatis. Platea, nibh. Mauris vel temporibus mattis. Sollicitudin facilisis lorem dolor justo accusamus culpa.",1,3,7,"","","","","Worthy",7,4,1
"517","Exp1First",3,8,2,5,8,5,5,NA,NA,NA,7,9,6,3.9375,3.91666666666667,4.5,4,6,88,2,"Rutrum arcu consectetuer ultricies curabitur! Aenean in bibendum praesent aenean.","Augue? Placerat magna imperdiet commodo porttitor facilisis. Fermentum! Sapien auctor.",1,3,5,"","","","","Worthy",7,9,6
"518","Exp1First",3,4,2,8,9,3,1,NA,NA,NA,2,4,7,4.3125,3.58333333333333,3.5,6,7,68,2,"Pellentesque quis ac turpis accusamus? Wisi vivamus molestie facilisi velit. Eleifend.","Proin venenatis interdum consectetuer. Potenti ut! Per elit suscipit magnis.",3,1,5,"","","","","Worthy",2,4,7
"519","Exp2First",3.33333333333333,1,7,6,6,5,4,3,3,7,NA,NA,NA,4.5,3.75,5,6,6,31,4,"Et risus bibendum. Augue platea. Iaculis ultricies leo auctor lacus risus suscipit dui.","Atque a maecenas nonummy convallis facilisis sollicitudin sapien faucibus! Sagittis tortor aliquet leo.",4,1,1,"","","","","Worthy",3,3,7
"520","Exp2First",3.33333333333333,3,1,7,8,3,8,8,4,7,NA,NA,NA,4.1875,3.75,5,4,6,0,2,"Sagittis? Vivamus massa. Tempus neque. Mi sem diam porttitor dapibus tempora magna nulla.","Primis. Posuere. Dui laoreet primis ullamcorper! Pellentesque metus! Elit eros fusce convallis proin lacus.",1,4,7,"","","","","Worthy",8,4,7
"521","Exp2First",3,9,9,6,4,5,7,2,6,8,NA,NA,NA,4.625,3.66666666666667,4,11,3,56,4,"Faucibus blandit euismod metus maecenas ligula dolorem sagittis magna tincidunt ut rutrum aliquet eget augue.","Eget ultrices sollicitudin ultrices! Est ultricies nunc. Sodales, augue, fringilla.",5,4,6,"","","","","Worthy",2,6,8
"522","Exp1First",3.5,4,7,5,2,5,6,7,9,7,NA,NA,NA,4.25,3.58333333333333,5,4,4,40,2,"Consequat phasellus erat magnis? Nunc. Integer atque accusamus bibendum mattis. Dui.","Vehicula eleifend sagittis phasellus convallis velit felis. Aliquet ultrices wisi? Ullamcorper.",6,4,2,"","","","","Worthy",7,9,7
"523","Exp2First",3,8,2,5,1,3,2,NA,NA,NA,6,4,6,4.25,3.91666666666667,5,3,5,81,4,"Temporibus. Aenean. Eros! Tincidunt. Fringilla sollicitudin, eu wisi vivamus eros ridiculus curabitur tempora euismod amet.","Lorem bibendum! Curabitur sed accumsan auctor rutrum ligula. Placerat aliquam malesuada. Elit.",6,7,5,"","","","","Worthy",6,4,6
"524","Exp1First",4.33333333333333,1,3,3,5,5,2,NA,NA,NA,4,8,5,4.4375,4,4,6,4,46,3,"Aenean nullam dignissim tellus tortor. Lorem? Est. Pharetra auctor! Mauris.","Vel, odio natoque pellentesque! Dui, turpis sit duis? Scelerisque natoque pharetra porttitor volutpat integer.",4,2,5,"","","","","Worthy",4,8,5
"525","Exp1First",3.83333333333333,2,2,8,7,7,7,NA,NA,NA,4,1,1,5.125,3.75,1,9,2,23,2,"Dui, rhoncus duis nibh magnis rhoncus dictumst massa? Malesuada dui scelerisque donec vulputate.","Turpis per montes atque laoreet pretium? Phasellus dui lacus at. Rutrum accumsan risus placerat.",6,7,3,"","","","","Worthy",4,1,1
"526","Exp1First",4.33333333333333,4,3,3,4,5,2,NA,NA,NA,5,5,1,4.125,3.75,3,5,6,85,4,"Facilisi nullam nullam sodales porta rutrum ligula eget lorem, interdum eleifend? Eros faucibus.","Et morbi eros phasellus. Vehicula tellus venenatis! Vivamus! Pretium? Sed iaculis cursus! Facilisi orci.",1,4,7,"","","","","Worthy",5,5,1
"527","Exp2First",3.33333333333333,8,7,5,8,8,2,2,3,8,NA,NA,NA,4.8125,3.33333333333333,3,6,3,43,1,"Augue. Etiam dapibus lacus dui dolor porta ultrices, nonummy turpis ac.","Ante! Est primis blandit dui laoreet dui. Montes dictumst lacus. Volutpat.",3,2,4,"","","","","Worthy",2,3,8
"528","Exp1First",3.5,7,1,3,1,7,5,9,7,3,NA,NA,NA,4.4375,3.5,2.5,2,3,80,1,"Amet ante sodales montes nonummy gravida blandit pellentesque rhoncus velit imperdiet erat.","At! Ipsum sed amet accusamus lectus ullamcorper sit potenti quis accusamus, suscipit.",5,5,2,"","","","","Worthy",9,7,3
"529","Exp2First",2.33333333333333,7,5,5,8,2,3,NA,NA,NA,4,4,5,4,3.58333333333333,3,6,4,38,2,"Risus tempor rutrum tempora aenean potenti curabitur convallis, pellentesque arcu sed leo! Vestibulum.","Interdum! Volutpat integer dictumst urna ridiculus neque consequat rhoncus. Vestibulum ab donec aenean.",2,7,5,"","","","","Worthy",4,4,5
"530","Exp2First",3.5,6,4,2,6,8,5,8,4,9,NA,NA,NA,4.125,3.83333333333333,5,5,7,36,4,"Sodales. Posuere mattis lectus potenti potenti amet elit leo ligula lorem neque vehicula.","Aenean tincidunt pharetra platea. Blandit? Sollicitudin? Eu mattis. Suspendisse euismod nulla elit tempora cras blandit.",3,5,6,"","","","","Worthy",8,4,9
"531","Exp1First",2.83333333333333,1,3,9,5,5,8,NA,NA,NA,7,5,5,3.625,3.58333333333333,4.5,3,7,97,3,"Neque viverra mauris sit rutrum tempor tempus id massa tempora tortor, id.","Vitae ab ut porta eget magna commodo cras ut eget.",4,2,4,"","","","","Worthy",7,5,5
"532","Exp2First",2.33333333333333,1,9,2,8,4,6,4,7,1,NA,NA,NA,4.1875,4.16666666666667,4.5,6,4,3,1,"Pretium morbi! Neque urna? Ligula facilisi diam, aenean posuere nullam aliquam est tellus convallis.","Interdum suspendisse facilisi. Sodales porta tempor? Montes purus accumsan mauris risus.",3,2,5,"","","","","Worthy",4,7,1
"533","Exp2First",3.16666666666667,5,1,7,4,6,6,9,2,3,NA,NA,NA,4.0625,3.83333333333333,3.5,5,5,88,3,"Euismod ipsum. Tempora dictumst turpis sem blandit dolor cras ullamcorper ac fringilla vivamus.","Etiam sem, tortor. Montes, urna et accusamus magna in vitae.",5,6,1,"","","","","Worthy",9,2,3
"534","Exp1First",3.66666666666667,4,9,7,2,8,4,NA,NA,NA,7,2,9,3.5625,3.91666666666667,5.5,6,3,93,3,"Lectus. Dapibus justo sapien massa suscipit. Diam! Luctus, amet magna odio felis magnis molestie.","Per auctor accumsan laoreet porta consectetuer arcu molestie molestie porttitor.",3,2,2,"","","","","Worthy",7,2,9
"535","Exp1First",3,8,2,5,4,8,8,9,2,5,NA,NA,NA,4.4375,4.16666666666667,3.5,5,4,62,3,"Accusamus? Suspendisse lorem dapibus platea phasellus wisi, blandit. Nec consectetuer. Enim.","Sem odio aliquam! Lorem viverra sapien et ipsum gravida. Nec integer ipsum atque iaculis mattis.",3,3,1,"","","","","Worthy",9,2,5
"536","Exp2First",3.33333333333333,9,9,7,2,9,5,NA,NA,NA,1,2,1,4.8125,3.66666666666667,2,6,6,79,2,"Aliquam massa montes? Pellentesque ac imperdiet consequat volutpat nonummy, convallis ab dolor! Viverra dolor.","Ut aenean porta per pellentesque lectus per lectus aliquam malesuada.",6,2,4,"","","","","Worthy",1,2,1
"537","Exp1First",4.16666666666667,2,7,7,2,3,1,8,6,5,NA,NA,NA,4.0625,3.33333333333333,3,4,5,97,3,"Egestas, non integer a iaculis nonummy in. Risus erat fusce pharetra a consequat sollicitudin tempora.","Placerat. Aliquam rhoncus auctor ac non non? Eget. Dolor vivamus elit ultrices.",6,3,5,"","","","","Worthy",8,6,5
"538","Exp2First",2.83333333333333,8,3,2,1,8,4,7,5,8,NA,NA,NA,4.0625,4,3.5,2,4,44,3,"Sem? Lorem dolor elementum consequat magnis platea nibh laoreet consequat.","Commodo ante? Tempus! Duis sed tincidunt non? Felis, iaculis tempora! Porttitor vulputate.",2,7,3,"","","","","Worthy",7,5,8
